"sub.num","date","time","db.avg","db.peak"
"nyu_02","2016-07-06","10:12:11.040",52.487576,58.907701
"nyu_02","2016-07-06","10:12:11.140",54.02046,58.907701
"nyu_02","2016-07-06","10:12:11.241",52.640192,53.864777
"nyu_02","2016-07-06","10:12:11.340",51.402427,53.864777
"nyu_02","2016-07-06","10:12:11.440",52.536917,53.864777
"nyu_02","2016-07-06","10:12:11.540",51.703819,53.864777
"nyu_02","2016-07-06","10:12:11.640",49.618746,53.864777
"nyu_02","2016-07-06","10:12:11.740",51.946885,53.864777
"nyu_02","2016-07-06","10:12:11.840",51.147575,53.864777
"nyu_02","2016-07-06","10:12:11.940",49.742746,54.012345
"nyu_02","2016-07-06","10:12:12.040",49.933805,54.012345
"nyu_02","2016-07-06","10:12:12.140",51.041355,54.012345
"nyu_02","2016-07-06","10:12:12.239",50.894212,54.012345
"nyu_02","2016-07-06","10:12:12.340",54.155724,54.155724
"nyu_02","2016-07-06","10:12:12.440",52.937744,55.413489
"nyu_02","2016-07-06","10:12:12.540",49.043063,55.413489
"nyu_02","2016-07-06","10:12:12.640",54.127994,55.413489
"nyu_02","2016-07-06","10:12:12.740",51.594877,55.413489
"nyu_02","2016-07-06","10:12:12.840",51.40582,55.413489
"nyu_02","2016-07-06","10:12:12.940",49.242905,55.413489
"nyu_02","2016-07-06","10:12:13.040",48.81323,55.413489
"nyu_02","2016-07-06","10:12:13.140",52.998237,55.413489
"nyu_02","2016-07-06","10:12:13.240",54.095511,56.379913
"nyu_02","2016-07-06","10:12:13.340",51.874886,53.531382
"nyu_02","2016-07-06","10:12:13.440",53.15665,58.099371
"nyu_02","2016-07-06","10:12:13.540",52.42279,58.099371
"nyu_02","2016-07-06","10:12:13.640",50.449279,58.099371
"nyu_02","2016-07-06","10:12:13.740",51.053857,58.099371
"nyu_02","2016-07-06","10:12:13.840",47.451569,58.099371
"nyu_02","2016-07-06","10:12:13.939",54.097863,58.529422
"nyu_02","2016-07-06","10:12:14.040",54.313605,59.03248
"nyu_02","2016-07-06","10:12:14.140",55.728459,59.03248
"nyu_02","2016-07-06","10:12:14.240",52.154704,59.03248
"nyu_02","2016-07-06","10:12:14.340",51.030282,59.03248
"nyu_02","2016-07-06","10:12:14.440",51.469107,59.03248
"nyu_02","2016-07-06","10:12:14.540",52.832303,59.03248
"nyu_02","2016-07-06","10:12:14.640",50.431751,59.03248
"nyu_02","2016-07-06","10:12:14.740",50.078336,59.03248
"nyu_02","2016-07-06","10:12:14.840",53.385235,59.03248
"nyu_02","2016-07-06","10:12:14.939",53.518635,59.03248
"nyu_02","2016-07-06","10:12:15.039",51.551729,59.03248
"nyu_02","2016-07-06","10:12:15.140",50.834366,59.03248
"nyu_02","2016-07-06","10:12:15.240",53.050363,59.03248
"nyu_02","2016-07-06","10:12:15.340",50.686506,59.03248
"nyu_02","2016-07-06","10:12:15.440",51.598273,52.64446
"nyu_02","2016-07-06","10:12:15.539",53.273909,53.276025
"nyu_02","2016-07-06","10:12:15.640",53.077071,53.555769
