"sub.num","date","time","db.avg","db.peak"
"nyu_05","2016-08-24","16:14:15.103",53.001374,53.004155
"nyu_05","2016-08-24","16:14:15.177",49.173012,53.004155
"nyu_05","2016-08-24","16:14:15.259",54.942326,55.048936
"nyu_05","2016-08-24","16:14:15.406",58.311944,60.473565
"nyu_05","2016-08-24","16:14:15.461",58.947984,60.577894
"nyu_05","2016-08-24","16:14:15.559",54.267586,61.694901
"nyu_05","2016-08-24","16:14:15.659",55.207821,61.694901
"nyu_05","2016-08-24","16:14:15.759",52.18773,61.694901
"nyu_05","2016-08-24","16:14:15.859",55.105297,61.694901
"nyu_05","2016-08-24","16:14:15.958",53.362824,61.694901
"nyu_05","2016-08-24","16:14:16.059",56.65895,61.694901
"nyu_05","2016-08-24","16:14:16.159",55.628589,61.694901
"nyu_05","2016-08-24","16:14:16.259",54.476839,61.694901
"nyu_05","2016-08-24","16:14:16.359",53.344801,61.694901
"nyu_05","2016-08-24","16:14:16.459",53.448822,61.694901
"nyu_05","2016-08-24","16:14:16.559",53.563864,61.694901
"nyu_05","2016-08-24","16:14:16.659",52.585065,61.694901
"nyu_05","2016-08-24","16:14:16.759",55.635811,61.694901
"nyu_05","2016-08-24","16:14:16.859",62.600451,62.606344
"nyu_05","2016-08-24","16:14:16.958",52.959568,62.606344
"nyu_05","2016-08-24","16:14:17.059",53.075257,62.606344
"nyu_05","2016-08-24","16:14:17.159",55.662716,56.177662
"nyu_05","2016-08-24","16:14:17.259",57.531046,57.69128
"nyu_05","2016-08-24","16:14:17.359",62.997267,63.087569
"nyu_05","2016-08-24","16:14:17.459",58.24031,63.087569
"nyu_05","2016-08-24","16:14:17.559",65.538545,65.80021
"nyu_05","2016-08-24","16:14:17.659",63.242895,65.80021
"nyu_05","2016-08-24","16:14:17.764",61.212456,68.841675
"nyu_05","2016-08-24","16:14:17.859",66.767503,79.201786
"nyu_05","2016-08-24","16:14:18.008",58.278188,79.201786
"nyu_05","2016-08-24","16:14:18.059",58.938088,79.201786
"nyu_05","2016-08-24","16:14:18.160",63.007751,79.201786
"nyu_05","2016-08-24","16:14:18.266",59.849715,79.201786
"nyu_05","2016-08-24","16:14:18.359",58.83489,79.201786
"nyu_05","2016-08-24","16:14:18.459",61.904022,79.201786
"nyu_05","2016-08-24","16:14:18.559",54.479528,79.201786
"nyu_05","2016-08-24","16:14:18.659",55.050299,79.201786
"nyu_05","2016-08-24","16:14:18.760",56.25548,79.201786
"nyu_05","2016-08-24","16:14:18.859",57.958204,79.201786
"nyu_05","2016-08-24","16:14:18.959",57.960207,79.201786
"nyu_05","2016-08-24","16:14:19.059",57.299664,79.201786
"nyu_05","2016-08-24","16:14:19.159",54.873022,79.201786
"nyu_05","2016-08-24","16:14:19.260",58.879345,58.903684
"nyu_05","2016-08-24","16:14:19.359",58.55064,59.783701
"nyu_05","2016-08-24","16:14:19.459",53.949584,59.889805
"nyu_05","2016-08-24","16:14:19.559",54.13877,59.889805
"nyu_05","2016-08-24","16:14:19.659",53.910862,59.889805
"nyu_05","2016-08-24","16:14:19.759",54.356473,59.889805
"nyu_05","2016-08-24","16:14:19.859",53.836752,59.889805
"nyu_05","2016-08-24","16:14:19.959",52.580378,59.889805
"nyu_05","2016-08-24","16:14:20.060",59.032809,59.889805
"nyu_05","2016-08-24","16:14:20.160",59.73231,60.750594
"nyu_05","2016-08-24","16:14:20.259",61.546302,61.619514
"nyu_05","2016-08-24","16:14:20.359",55.925744,62.468024
"nyu_05","2016-08-24","16:14:20.459",52.394764,62.468024
"nyu_05","2016-08-24","16:14:20.559",57.72653,62.468024
"nyu_05","2016-08-24","16:14:20.659",54.807028,62.468024
"nyu_05","2016-08-24","16:14:20.759",55.130681,62.468024
"nyu_05","2016-08-24","16:14:20.859",52.205527,62.468024
"nyu_05","2016-08-24","16:14:20.959",54.317517,62.468024
"nyu_05","2016-08-24","16:14:21.059",54.151632,62.468024
"nyu_05","2016-08-24","16:14:21.159",55.952721,62.468024
"nyu_05","2016-08-24","16:14:21.259",53.786243,62.468024
"nyu_05","2016-08-24","16:14:21.359",55.086695,55.288829
"nyu_05","2016-08-24","16:14:21.459",55.66393,55.848298
"nyu_05","2016-08-24","16:14:21.560",53.926865,56.600385
"nyu_05","2016-08-24","16:14:21.659",54.687596,56.600385
"nyu_05","2016-08-24","16:14:21.759",57.743955,57.743955
"nyu_05","2016-08-24","16:14:21.859",56.251323,59.065117
"nyu_05","2016-08-24","16:14:21.959",53.454285,59.065117
"nyu_05","2016-08-24","16:14:22.059",52.320441,59.065117
"nyu_05","2016-08-24","16:14:22.159",56.014795,59.065117
"nyu_05","2016-08-24","16:14:22.259",57.851674,59.065117
"nyu_05","2016-08-24","16:14:22.359",56.218397,59.413862
"nyu_05","2016-08-24","16:14:22.459",55.338615,59.413862
"nyu_05","2016-08-24","16:14:22.559",53.843648,59.413862
"nyu_05","2016-08-24","16:14:22.659",58.050108,59.413862
"nyu_05","2016-08-24","16:14:22.759",58.651393,59.413862
"nyu_05","2016-08-24","16:14:22.859",57.986891,59.413862
"nyu_05","2016-08-24","16:14:22.959",60.781677,60.839701
"nyu_05","2016-08-24","16:14:23.059",57.742387,60.839701
"nyu_05","2016-08-24","16:14:23.159",52.974788,60.839701
"nyu_05","2016-08-24","16:14:23.259",53.804333,60.839701
"nyu_05","2016-08-24","16:14:23.359",50.690055,60.839701
"nyu_05","2016-08-24","16:14:23.459",55.23252,55.777192
"nyu_05","2016-08-24","16:14:23.559",61.23654,61.27754
"nyu_05","2016-08-24","16:14:23.659",55.422621,61.27754
"nyu_05","2016-08-24","16:14:23.759",56.9084,61.27754
"nyu_05","2016-08-24","16:14:23.859",56.191386,61.27754
"nyu_05","2016-08-24","16:14:23.959",57.706173,61.27754
"nyu_05","2016-08-24","16:14:24.059",56.117499,61.27754
"nyu_05","2016-08-24","16:14:24.159",56.801432,61.27754
"nyu_05","2016-08-24","16:14:24.259",52.643768,61.27754
"nyu_05","2016-08-24","16:14:24.359",53.973263,61.27754
"nyu_05","2016-08-24","16:14:24.459",52.374423,61.27754
"nyu_05","2016-08-24","16:14:24.559",51.325217,61.27754
"nyu_05","2016-08-24","16:14:24.659",54.807106,61.27754
"nyu_05","2016-08-24","16:14:24.759",53.966716,61.27754
"nyu_05","2016-08-24","16:14:24.859",53.452005,61.27754
"nyu_05","2016-08-24","16:14:24.959",55.266876,61.27754
"nyu_05","2016-08-24","16:14:25.059",52.16979,61.27754
"nyu_05","2016-08-24","16:14:25.159",54.654829,61.27754
"nyu_05","2016-08-24","16:14:25.259",53.665442,61.27754
"nyu_05","2016-08-24","16:14:25.359",54.444927,61.27754
"nyu_05","2016-08-24","16:14:25.459",52.566885,61.27754
"nyu_05","2016-08-24","16:14:25.559",52.664864,56.03017
"nyu_05","2016-08-24","16:14:25.659",55.908659,56.763415
"nyu_05","2016-08-24","16:14:25.760",53.216299,56.763415
"nyu_05","2016-08-24","16:14:25.859",55.053235,56.763415
"nyu_05","2016-08-24","16:14:25.959",54.51191,56.763415
"nyu_05","2016-08-24","16:14:26.059",52.211391,57.323997
"nyu_05","2016-08-24","16:14:26.160",54.622179,57.323997
