"sub.num","date","time","db.avg","db.peak"
"nyu_18","2016-10-23","10:21:14.584",56.507416,68.558253
"nyu_18","2016-10-23","10:21:14.684",46.58323,68.558253
"nyu_18","2016-10-23","10:21:14.784",62.98671,68.558253
"nyu_18","2016-10-23","10:21:14.884",63.216204,68.558253
"nyu_18","2016-10-23","10:21:14.984",50.106582,68.558253
"nyu_18","2016-10-23","10:21:15.084",43.725476,68.558253
"nyu_18","2016-10-23","10:21:15.184",40.323232,68.558253
"nyu_18","2016-10-23","10:21:15.284",50.305049,68.558253
"nyu_18","2016-10-23","10:21:15.384",60.192233,68.558253
"nyu_18","2016-10-23","10:21:15.484",56.759206,68.558253
"nyu_18","2016-10-23","10:21:15.584",51.29111,68.558253
"nyu_18","2016-10-23","10:21:15.684",50.114704,50.122151
"nyu_18","2016-10-23","10:21:15.784",56.615249,56.615249
"nyu_18","2016-10-23","10:21:15.884",64.960003,64.972139
"nyu_18","2016-10-23","10:21:15.984",57.674561,64.972139
"nyu_18","2016-10-23","10:21:16.084",63.814424,64.972139
"nyu_18","2016-10-23","10:21:16.184",55.528175,64.972139
"nyu_18","2016-10-23","10:21:16.284",67.435291,67.4468
"nyu_18","2016-10-23","10:21:16.384",63.516802,68.578398
"nyu_18","2016-10-23","10:21:16.484",60.176791,68.578398
"nyu_18","2016-10-23","10:21:16.584",62.859516,68.578398
"nyu_18","2016-10-23","10:21:16.684",65.002898,68.578398
"nyu_18","2016-10-23","10:21:16.784",64.614171,69.219587
"nyu_18","2016-10-23","10:21:16.884",54.233571,69.219587
"nyu_18","2016-10-23","10:21:16.984",46.38128,69.219587
"nyu_18","2016-10-23","10:21:17.084",52.125503,69.219587
"nyu_18","2016-10-23","10:21:17.184",51.892422,69.219587
"nyu_18","2016-10-23","10:21:17.284",62.203131,69.219587
"nyu_18","2016-10-23","10:21:17.384",59.109666,69.219587
"nyu_18","2016-10-23","10:21:17.484",50.689287,69.219587
"nyu_18","2016-10-23","10:21:17.584",46.500211,69.219587
"nyu_18","2016-10-23","10:21:17.684",47.455644,69.219587
"nyu_18","2016-10-23","10:21:17.784",44.540619,50.86712
"nyu_18","2016-10-23","10:21:17.884",49.331455,50.86712
"nyu_18","2016-10-23","10:21:17.984",46.958567,50.86712
"nyu_18","2016-10-23","10:21:18.084",44.785035,50.86712
"nyu_18","2016-10-23","10:21:18.184",44.612486,50.86712
"nyu_18","2016-10-23","10:21:18.284",44.084546,50.86712
"nyu_18","2016-10-23","10:21:18.384",48.305519,50.86712
"nyu_18","2016-10-23","10:21:18.484",45.697509,50.86712
"nyu_18","2016-10-23","10:21:18.584",45.597148,50.86712
"nyu_18","2016-10-23","10:21:18.684",47.589944,50.86712
"nyu_18","2016-10-23","10:21:18.784",47.836094,50.86712
"nyu_18","2016-10-23","10:21:18.884",46.579405,50.86712
"nyu_18","2016-10-23","10:21:18.984",46.881359,50.86712
"nyu_18","2016-10-23","10:21:19.084",46.701934,50.86712
"nyu_18","2016-10-23","10:21:19.184",49.79694,50.86712
"nyu_18","2016-10-23","10:21:19.284",45.216099,50.86712
"nyu_18","2016-10-23","10:21:19.384",47.813315,50.86712
"nyu_18","2016-10-23","10:21:19.484",48.022783,50.86712
"nyu_18","2016-10-23","10:21:19.584",48.684402,50.86712
"nyu_18","2016-10-23","10:21:19.684",45.328078,50.86712
"nyu_18","2016-10-23","10:21:19.784",46.143453,50.86712
"nyu_18","2016-10-23","10:21:19.884",44.198498,45.285619
"nyu_18","2016-10-23","10:21:19.984",52.747174,55.718691
"nyu_18","2016-10-23","10:21:20.084",49.112107,55.718691
"nyu_18","2016-10-23","10:21:20.184",45.763379,55.718691
"nyu_18","2016-10-23","10:21:20.285",48.414521,55.718691
"nyu_18","2016-10-23","10:21:20.384",44.777012,55.718691
"nyu_18","2016-10-23","10:21:20.484",47.956715,55.718691
"nyu_18","2016-10-23","10:21:20.584",44.548773,55.718691
"nyu_18","2016-10-23","10:21:20.684",45.763811,55.718691
"nyu_18","2016-10-23","10:21:20.784",58.78503,63.358694
"nyu_18","2016-10-23","10:21:20.884",50.133125,63.358694
"nyu_18","2016-10-23","10:21:20.984",48.885788,63.358694
"nyu_18","2016-10-23","10:21:21.084",44.570246,63.358694
"nyu_18","2016-10-23","10:21:21.184",43.095389,63.358694
"nyu_18","2016-10-23","10:21:21.284",43.540895,63.358694
"nyu_18","2016-10-23","10:21:21.384",63.952109,64.001191
"nyu_18","2016-10-23","10:21:21.484",68.91991,68.925792
"nyu_18","2016-10-23","10:21:21.584",64.301354,74.882578
"nyu_18","2016-10-23","10:21:21.685",52.913672,74.882578
"nyu_18","2016-10-23","10:21:21.784",61.972049,74.882578
"nyu_18","2016-10-23","10:21:21.884",49.739087,74.882578
"nyu_18","2016-10-23","10:21:21.984",55.762556,55.881354
"nyu_18","2016-10-23","10:21:22.084",59.916352,61.782948
"nyu_18","2016-10-23","10:21:22.184",61.374827,61.782948
"nyu_18","2016-10-23","10:21:22.285",55.392024,65.026939
"nyu_18","2016-10-23","10:21:22.385",77.849264,77.849796
"nyu_18","2016-10-23","10:21:22.485",61.487895,77.849796
"nyu_18","2016-10-23","10:21:22.584",71.217746,77.849796
"nyu_18","2016-10-23","10:21:22.684",71.193393,77.849796
"nyu_18","2016-10-23","10:21:22.784",65.26392,77.849796
"nyu_18","2016-10-23","10:21:22.885",55.030622,77.849796
"nyu_18","2016-10-23","10:21:22.984",49.037531,77.849796
"nyu_18","2016-10-23","10:21:23.084",47.68246,77.849796
"nyu_18","2016-10-23","10:21:23.184",58.062854,77.849796
"nyu_18","2016-10-23","10:21:23.284",57.296195,77.849796
"nyu_18","2016-10-23","10:21:23.384",47.847213,77.849796
"nyu_18","2016-10-23","10:21:23.484",64.829598,77.849796
"nyu_18","2016-10-23","10:21:23.584",58.257252,77.849796
"nyu_18","2016-10-23","10:21:23.684",52.816679,77.849796
"nyu_18","2016-10-23","10:21:23.784",64.650573,77.849796
"nyu_18","2016-10-23","10:21:23.884",57.274822,77.849796
"nyu_18","2016-10-23","10:21:23.985",61.386397,77.849796
"nyu_18","2016-10-23","10:21:24.084",63.23342,63.23342
