"sub.num","date","time","db.avg","db.peak"
"nyu_17","2016-10-22","11:54:14.745",54.083466,57.783888
"nyu_17","2016-10-22","11:54:14.845",54.022157,57.783888
"nyu_17","2016-10-22","11:54:14.945",55.290653,57.783888
"nyu_17","2016-10-22","11:54:15.045",50.549065,57.783888
"nyu_17","2016-10-22","11:54:15.145",54.391884,57.783888
"nyu_17","2016-10-22","11:54:15.245",55.819087,58.014879
"nyu_17","2016-10-22","11:54:15.345",54.094933,58.014879
"nyu_17","2016-10-22","11:54:15.445",53.741775,58.902277
"nyu_17","2016-10-22","11:54:15.544",56.015886,58.902277
"nyu_17","2016-10-22","11:54:15.645",47.400848,58.902277
"nyu_17","2016-10-22","11:54:15.745",46.065477,58.902277
"nyu_17","2016-10-22","11:54:15.845",57.205073,58.902277
"nyu_17","2016-10-22","11:54:15.944",56.225857,58.902277
"nyu_17","2016-10-22","11:54:16.045",54.8743,58.902277
"nyu_17","2016-10-22","11:54:16.145",55.322421,58.902277
"nyu_17","2016-10-22","11:54:16.245",50.96303,58.902277
"nyu_17","2016-10-22","11:54:16.345",50.42444,51.694999
"nyu_17","2016-10-22","11:54:16.445",50.972683,52.047839
"nyu_17","2016-10-22","11:54:16.545",50.569657,52.047839
"nyu_17","2016-10-22","11:54:16.645",53.196845,53.503069
"nyu_17","2016-10-22","11:54:16.745",51.17927,54.596346
"nyu_17","2016-10-22","11:54:16.845",54.23415,54.596346
"nyu_17","2016-10-22","11:54:16.945",52.461867,54.596346
"nyu_17","2016-10-22","11:54:17.045",54.072369,54.596346
"nyu_17","2016-10-22","11:54:17.145",53.092697,54.596346
"nyu_17","2016-10-22","11:54:17.245",49.979103,54.596346
"nyu_17","2016-10-22","11:54:17.345",49.884387,54.596346
"nyu_17","2016-10-22","11:54:17.445",55.290773,55.376212
"nyu_17","2016-10-22","11:54:17.545",51.828416,55.376212
"nyu_17","2016-10-22","11:54:17.645",52.652723,55.376212
"nyu_17","2016-10-22","11:54:17.745",49.011971,55.376212
"nyu_17","2016-10-22","11:54:17.845",44.826891,55.376212
"nyu_17","2016-10-22","11:54:17.945",48.290273,55.376212
"nyu_17","2016-10-22","11:54:18.045",49.532769,55.376212
"nyu_17","2016-10-22","11:54:18.144",51.757216,55.376212
"nyu_17","2016-10-22","11:54:18.245",48.989919,55.376212
"nyu_17","2016-10-22","11:54:18.345",48.111247,55.376212
"nyu_17","2016-10-22","11:54:18.445",52.219606,54.922505
"nyu_17","2016-10-22","11:54:18.544",49.267563,54.922505
"nyu_17","2016-10-22","11:54:18.645",50.106623,54.922505
"nyu_17","2016-10-22","11:54:18.745",54.804604,55.085581
"nyu_17","2016-10-22","11:54:18.845",51.671141,55.085581
"nyu_17","2016-10-22","11:54:18.945",46.845534,55.085581
"nyu_17","2016-10-22","11:54:19.045",58.097478,58.131183
"nyu_17","2016-10-22","11:54:19.145",57.911841,59.044622
"nyu_17","2016-10-22","11:54:19.245",54.690812,59.044622
"nyu_17","2016-10-22","11:54:19.345",50.738613,59.044622
"nyu_17","2016-10-22","11:54:19.445",50.05111,59.044622
"nyu_17","2016-10-22","11:54:19.545",51.246623,59.044622
"nyu_17","2016-10-22","11:54:19.645",55.00073,59.044622
"nyu_17","2016-10-22","11:54:19.745",57.475906,60.413794
"nyu_17","2016-10-22","11:54:19.845",57.265121,60.413794
"nyu_17","2016-10-22","11:54:19.945",53.572566,60.413794
"nyu_17","2016-10-22","11:54:20.045",49.066139,60.413794
"nyu_17","2016-10-22","11:54:20.145",49.900694,60.413794
"nyu_17","2016-10-22","11:54:20.245",51.469546,60.413794
"nyu_17","2016-10-22","11:54:20.345",49.444971,60.413794
"nyu_17","2016-10-22","11:54:20.445",47.606593,60.413794
"nyu_17","2016-10-22","11:54:20.545",51.825273,51.825273
"nyu_17","2016-10-22","11:54:20.645",49.043738,51.999372
"nyu_17","2016-10-22","11:54:20.745",46.844862,51.999372
"nyu_17","2016-10-22","11:54:20.845",46.223147,51.999372
"nyu_17","2016-10-22","11:54:20.945",44.426534,51.999372
"nyu_17","2016-10-22","11:54:21.045",47.390129,51.999372
"nyu_17","2016-10-22","11:54:21.145",50.380465,52.578005
"nyu_17","2016-10-22","11:54:21.245",52.042198,52.578005
"nyu_17","2016-10-22","11:54:21.345",51.304641,52.578005
"nyu_17","2016-10-22","11:54:21.445",50.025349,52.578005
"nyu_17","2016-10-22","11:54:21.545",51.270407,52.578005
"nyu_17","2016-10-22","11:54:21.645",48.898214,52.578005
"nyu_17","2016-10-22","11:54:21.744",48.784738,52.578005
"nyu_17","2016-10-22","11:54:21.845",48.906097,52.578005
"nyu_17","2016-10-22","11:54:21.945",47.569718,52.578005
"nyu_17","2016-10-22","11:54:22.045",50.253631,52.578005
"nyu_17","2016-10-22","11:54:22.145",56.529733,57.19607
"nyu_17","2016-10-22","11:54:22.245",56.157163,57.19607
"nyu_17","2016-10-22","11:54:22.345",49.53725,57.19607
"nyu_17","2016-10-22","11:54:22.445",53.331952,57.19607
"nyu_17","2016-10-22","11:54:22.545",52.283595,57.19607
"nyu_17","2016-10-22","11:54:22.645",51.091022,53.142421
"nyu_17","2016-10-22","11:54:22.745",50.75103,53.142421
"nyu_17","2016-10-22","11:54:22.845",49.553363,53.142421
"nyu_17","2016-10-22","11:54:22.945",46.894644,53.142421
"nyu_17","2016-10-22","11:54:23.044",49.656946,53.142421
"nyu_17","2016-10-22","11:54:23.145",50.264436,54.361265
"nyu_17","2016-10-22","11:54:23.245",49.725018,54.361265
"nyu_17","2016-10-22","11:54:23.345",53.279509,54.361265
"nyu_17","2016-10-22","11:54:23.445",49.019254,54.361265
"nyu_17","2016-10-22","11:54:23.545",56.144222,56.144222
"nyu_17","2016-10-22","11:54:23.645",48.682889,56.144222
"nyu_17","2016-10-22","11:54:23.745",52.645317,56.144222
"nyu_17","2016-10-22","11:54:23.845",47.855778,56.144222
"nyu_17","2016-10-22","11:54:23.945",46.779139,56.144222
"nyu_17","2016-10-22","11:54:24.045",47.09606,56.144222
"nyu_17","2016-10-22","11:54:24.145",47.740581,56.144222
"nyu_17","2016-10-22","11:54:24.245",45.219981,56.144222
"nyu_17","2016-10-22","11:54:24.345",46.355711,56.144222
"nyu_17","2016-10-22","11:54:24.445",50.423334,56.144222
"nyu_17","2016-10-22","11:54:24.545",45.443462,56.144222
"nyu_17","2016-10-22","11:54:24.645",46.218267,56.144222
"nyu_17","2016-10-22","11:54:24.745",46.994276,47.147487
"nyu_17","2016-10-22","11:54:24.844",47.154982,47.882047
"nyu_17","2016-10-22","11:54:24.945",46.076469,47.882047
"nyu_17","2016-10-22","11:54:25.045",43.401425,47.882047
"nyu_17","2016-10-22","11:54:25.145",52.052966,52.673104
"nyu_17","2016-10-22","11:54:25.244",46.671205,52.673104
"nyu_17","2016-10-22","11:54:25.344",50.422557,52.673104
"nyu_17","2016-10-22","11:54:25.444",49.110785,52.673104
"nyu_17","2016-10-22","11:54:25.544",53.884437,53.884437
"nyu_17","2016-10-22","11:54:25.644",48.396861,55.702191
"nyu_17","2016-10-22","11:54:25.744",52.71956,55.702191
"nyu_17","2016-10-22","11:54:25.844",53.161756,55.702191
"nyu_17","2016-10-22","11:54:25.945",53.162929,55.702191
"nyu_17","2016-10-22","11:54:26.044",63.835844,63.835844
